fullname,phoneNumber,password,skills,address,city,pincode,availability,experienceYears,profilePhoto
Advik Soman,5679875542,$MB2DVvff3,Cooking,"Plot No. 673, Green Avenue, Pimpri",Pune,411018,On-demand,6,https://via.placeholder.com/150
Yochana Bawa,7206785606,+TStQ^ka7P,Babysitter,"House No. 707, Market Lane, Bibwewadi",Pune,411037,Full-time,9,https://via.placeholder.com/150
Bhavika Balakrishnan,3345682993,&L69wGhVrH,Cooking,"Plot No. 948, Station Road, Yerwada",Pune,411006,Full-time,5,https://via.placeholder.com/150
Nisha Devi,6109543564,&q&yFUFv&4,Maid,"House No. 257, River Bank, Mundhwa",Pune,411036,On-demand,12,https://via.placeholder.com/150
Vyanjana Comar,2776161928,^89XGTiuf5,Plumber,"Bunglow 868, Main Road, Kharadi",Pune,411014,Part-time,13,https://via.placeholder.com/150
Yashvi Kala,6003779159,z@S8KVNzGx,Cooking,"Bunglow 707, Market Lane, Warje",Pune,411058,On-demand,11,https://via.placeholder.com/150
Theodore Brar,3207510928,N%e05TyrpM,Cooking,"Bunglow 7, Station Road, Magarpatta City",Pune,411013,Full-time,4,https://via.placeholder.com/150
Praneel Kamdar,5116116902,#T4SUObmc_,Electrician,"Flat 741, Market Lane, Viman Nagar",Pune,411014,Full-time,6,https://via.placeholder.com/150
Fiyaz Varughese,955052180,g62ATjCQF@,Gardener,"Flat 685, Main Road, Balewadi",Pune,411045,Part-time,2,https://via.placeholder.com/150
Jeet Sharma,7167410660,%6_4leYq&c,Electrician,"Bunglow 78, High Street, Magarpatta City",Pune,411013,Full-time,6,https://via.placeholder.com/150
Yashvi Ganesh,7311266057,ad@P1Asvl*,Plumber,"House No. 689, Station Road, Sangvi",Pune,411027,On-demand,0,https://via.placeholder.com/150
Dev Sawhney,5439527845,r$(73!CeUd,Plumber,"Flat 408, River Bank, Pimpri",Pune,411018,On-demand,12,https://via.placeholder.com/150
Chaitaly Chand,3240457036,%1Rpe&lqqD,Gardener,"House No. 979, Market Lane, Kondhwa",Pune,411048,On-demand,11,https://via.placeholder.com/150
Harrison Dutta,4556137688,T6o9+oXc!*,Babysitter,"Flat 759, Green Avenue, Sangvi",Pune,411027,Part-time,10,https://via.placeholder.com/150
Azad Suresh,6182850590,W)4(MoSsN*,Plumber,"Flat 512, Market Lane, Pashan",Pune,411008,Part-time,11,https://via.placeholder.com/150
Chasmum Agarwal,2900955180,T&9ENnVWqS,Maid,"Flat 41, Park View, Baner",Pune,411045,Part-time,8,https://via.placeholder.com/150
Veda Magar,1418459213,j!21Bfb#%4,Carpenter,"Bunglow 286, River Bank, Katraj",Pune,411046,Part-time,6,https://via.placeholder.com/150
Upasna Bhatt,8744302991,@m6+BSPo_K,Maid,"Flat 875, Park View, Kalyani Nagar",Pune,411006,Part-time,0,https://via.placeholder.com/150
Geetika Agrawal,2311189361,@FZXEFc3F0,Electrician,"House No. 336, Station Road, Wadgaon Sheri",Pune,411014,Part-time,10,https://via.placeholder.com/150
Samaksh Ganguly,3258701254,n^OGpp!s_2,Gardener,"House No. 928, Market Lane, Camp",Pune,411001,Part-time,12,https://via.placeholder.com/150
Ishita Deshpande,1539055104,zvJ0N&^kB),Carpenter,"Bunglow 42, Green Avenue, Sangvi",Pune,411027,Part-time,2,https://via.placeholder.com/150
Advay Menon,7773271950,w27TTd(u#R,Babysitter,"House No. 719, Hill Side, Pimple Saudagar",Pune,411027,On-demand,7,https://via.placeholder.com/150
Yuvraj Varughese,5111671407,y+nZ4CjL^y,Gardener,"Flat 160, Green Avenue, Baner",Pune,411045,Part-time,10,https://via.placeholder.com/150
Charles Majumdar,6001615814,+4sHoZe^64,Babysitter,"Flat 724, Market Lane, Balewadi",Pune,411045,Part-time,14,https://via.placeholder.com/150
Sai Chand,4802545892,szBZxO^V)2,Plumber,"House No. 916, High Street, Bibwewadi",Pune,411037,Part-time,5,https://via.placeholder.com/150
Faras Choudhury,3541524994,#5GwQcetu*,Driver,"Bunglow 91, Green Avenue, Pimple Saudagar",Pune,411027,Full-time,2,https://via.placeholder.com/150
Harshil Gopal,3596935181,!%2LQn#zOv,Babysitter,"Plot No. 261, Green Avenue, Magarpatta City",Pune,411013,Part-time,2,https://via.placeholder.com/150
Avi Mishra,6263666243,2N4C_wqvt^,Maid,"House No. 648, Station Road, Bibwewadi",Pune,411037,Full-time,10,https://via.placeholder.com/150
Yashica Arya,8100476309,4b30sFjX@m,Cooking,"House No. 422, Market Lane, Pimpri",Pune,411018,Full-time,10,https://via.placeholder.com/150
Teerth Kapoor,2975212083,#bh6L&zu7E,Driver,"Bunglow 284, Station Road, Pashan",Pune,411008,On-demand,5,https://via.placeholder.com/150
Atharv Raju,7191483106,8sYIdB(c(8,Electrician,"House No. 271, Hill Side, Vishrantwadi",Pune,411015,Part-time,8,https://via.placeholder.com/150
Jeremiah Nagi,4452717136,&2cX(0wyZ3,Maid,"House No. 725, Green Avenue, Katraj",Pune,411046,On-demand,3,https://via.placeholder.com/150
Nandini Jaggi,1980566747,zw(RZ4Suo&,Electrician,"Bunglow 721, Main Road, Mundhwa",Pune,411036,Part-time,10,https://via.placeholder.com/150
Advika Anne,810776148,yh9D*2dl(B,Driver,"House No. 823, Park View, Deccan Gymkhana",Pune,411004,Part-time,11,https://via.placeholder.com/150
Manya Sinha,3496498777,W8yl*eZs_y,Plumber,"House No. 274, River Bank, Pimple Saudagar",Pune,411027,Part-time,2,https://via.placeholder.com/150
Vedant Brar,5862474929,WCw1Gmfu_M,Electrician,"Plot No. 393, Green Avenue, Hadapsar",Pune,411028,Full-time,1,https://via.placeholder.com/150
